journal_name,JCR_abbreviation,ISSN,eISSN,2021_JIF,JIF_quartile,pct_OA_gold,total_articles,subfield
Lancet Digital Health,LANCET DIGIT HEALTH,N/A,2589-7500,36.615,Q1,95.17%,59,MEDICAL INFORMATICS - SCIE
IEEE Communications Surveys and Tutorials,IEEE COMMUN SURV TUT,N/A,1553-877X,33.84,Q1,15.36%,79,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE"
RADIOLOGY,RADIOLOGY,0033-8419,N/A,29.146,Q1,5.63%,256,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE"
Science Robotics,SCI ROBOT,2470-9476,2470-9476,27.541,Q1,0.53%,75,ROBOTICS - SCIE
Nature Machine Intelligence,NAT MACH INTELL,N/A,2522-5839,25.898,Q1,3.77%,98,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE"
Nature Machine Intelligence,NAT MACH INTELL,N/A,2522-5839,25.898,Q1,3.77%,98,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE"
IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE,IEEE T PATTERN ANAL,0162-8828,1939-3539,24.314,Q1,7.75%,309,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE"
IEEE Transactions on Cybernetics,IEEE T CYBERNETICS,2168-2267,2168-2275,19.118,Q1,2.59%,"1,288",AUTOMATION & CONTROL SYSTEMS - SCIE
IEEE Transactions on Cybernetics,IEEE T CYBERNETICS,2168-2267,2168-2275,19.118,Q1,2.59%,"1,288","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE"
IEEE Transactions on Cybernetics,IEEE T CYBERNETICS,2168-2267,2168-2275,19.118,Q1,2.59%,"1,288","COMPUTER SCIENCE, CYBERNETICS - SCIE"
INTERNATIONAL JOURNAL OF INFORMATION MANAGEMENT,INT J INFORM MANAGE,0268-4012,1873-4707,18.958,Q1,9.19%,150,INFORMATION SCIENCE & LIBRARY SCIENCE - SSCI
Information Fusion,INFORM FUSION,1566-2535,1872-6305,17.564,Q1,6.81%,227,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE"
Information Fusion,INFORM FUSION,1566-2535,1872-6305,17.564,Q1,6.81%,227,"COMPUTER SCIENCE, THEORY & METHODS - SCIE"
IEEE TRANSACTIONS ON EVOLUTIONARY COMPUTATION,IEEE T EVOLUT COMPUT,1089-778X,1941-0026,16.497,Q1,5.86%,80,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE"
IEEE TRANSACTIONS ON EVOLUTIONARY COMPUTATION,IEEE T EVOLUT COMPUT,1089-778X,1941-0026,16.497,Q1,5.86%,80,"COMPUTER SCIENCE, THEORY & METHODS - SCIE"
JACC-Cardiovascular Imaging,JACC-CARDIOVASC IMAG,1936-878X,1876-7591,16.051,Q1,11.40%,110,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE"
npj Digital Medicine,NPJ DIGIT MED,2398-6352,2398-6352,15.357,Q1,99.48%,129,MEDICAL INFORMATICS - SCIE
JOURNAL OF STRATEGIC INFORMATION SYSTEMS,J STRATEGIC INF SYST,0963-8687,1873-1198,14.682,Q1,17.74%,16,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE"
